feature,citation,emotion,predict_or_detect,link_valid
sentiment_trajectory,Zuters & Leonova (2020). Adaptive Vocabulary Construction for Frustration Intensity Modelling in Customer Support Dialog Texts. IJCSIT. https://aircconline.com/ijcsit/V12N6/12620ijcsit01.pdf,frustration (intensity/trajectory),predict,valid
sentiment_trajectory,Zuters & Leonova (2022). Frustration Level in Customer Support Tweets: Towards a Language-Independent Model. Baltic J. Modern Computing. https://www.bjmc.lu.lv/fileadmin/user_upload/lu_portal/projekti/bjmc/Contents/10_4_08_Leonova.pdf,frustration (turn-level),predict,valid
politeness_level,Arunachalam et al. (2001). Politeness and Frustration Language in Child–Machine Interactions. INTERSPEECH. https://sail.usc.edu/publications/files/ArunachalamInterSpeech2001.pdf,frustration / politeness,detect,invalid
politeness_level,Potamianos et al. (2004). Detecting Politeness and Frustration State of a Child in a Conversational Computer Game. https://slp-ntua.github.io/potam/preprints/conf/05_EURO_kids_emotions.pdf,frustration / politeness,detect,valid
intent_repetition,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. SIGDIAL. https://aclanthology.org/W15-4647.pdf,miscommunication (negative affect correlate),detect,valid
confusion_lexical_markers,Lee & Narayanan (2005). Toward Detecting Emotions in Spoken Dialogs. IEEE TASLP. https://ict.usc.edu/pubs/Toward%20Detecting%20Emotions%20in%20Spoken%20Dialogs.pdf,negative emotions (incl. frustration-like),detect,valid
negation_frequency,Zuters & Leonova (2020). Adaptive Vocabulary Construction for Frustration Intensity Modelling... (lexical cues). https://aircconline.com/ijcsit/V12N6/12620ijcsit01.pdf,frustration (lexical signals),predict,valid
emotion_words,Zuters & Leonova (2022). Frustration Level in Customer Support Tweets... https://www.bjmc.lu.lv/fileadmin/user_upload/lu_portal/projekti/bjmc/Contents/10_4_08_Leonova.pdf,frustration (lexical),predict,valid
discourse_markers,Lee & Narayanan (2005). Toward Detecting Emotions in Spoken Dialogs (lexical+discourse). https://ict.usc.edu/pubs/Toward%20Detecting%20Emotions%20in%20Spoken%20Dialogs.pdf,negative emotions,detect,valid
emphasis_capitalization,Leonova & Zuters (2021). Frustration Level Annotation in Latvian Tweets with Non-Lexical Features (punctuation/orthography). https://aclanthology.org/2021.ranlp-1.93.pdf,frustration (non-lexical cues),detect,valid
exclamation_density,Leonova & Zuters (2021). Frustration Level Annotation in Latvian Tweets with Non-Lexical Features. https://aclanthology.org/2021.ranlp-1.93.pdf,frustration (non-lexical cues),detect,valid
sarcasm_indicators,Ghosh et al. (2018). Sarcasm Analysis Using Conversation Context. Computational Linguistics. https://direct.mit.edu/coli/article/44/4/755/1620/Sarcasm-Analysis-Using-Conversation-Context,sarcasm (negative affect correlate),detect,invalid
system_failures,Sandbank et al. (2017). Detecting Egregious Conversations between Customers and Virtual Agents. https://arxiv.org/abs/1711.05780,egregious/negative interactions (incl. frustration),detect,valid
system_failures,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation for Dialogue Policy. INTERSPEECH. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
repeated_turns,Li et al. (2019). When There is No Progress with a Task-Oriented Chatbot: A Conversation Analysis. (NP events & abandonment). https://www.researchgate.net/figure/Likelihood-of-users-abandoning-the-chatbot-by-number-of-consecutive-NPs-Just-149-of_fig6_336203997,abandonment/dissatisfaction,predict,invalid
conversation_length,Ultes & Schmitt (2015). Interaction Quality: Assessing ongoing dialog quality and relation to satisfaction. Speech Communication. (via citations in Ultes 2017) https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
user_corrections,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
self_corrections,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
intent_switch_frequency,Cai et al. (2020). Predicting User Intents and Satisfaction in Conversational Recommenders (dialogue dynamics features). https://wanlingcai.github.io/files/2020/UMAP2020-Paper.pdf,user satisfaction,predict,valid
confirmation_count,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation... https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
system_misunderstanding_rate,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
alignment_failures,Steven et al. (2023). How people perceive and talk about miscommunication. Journal of Pragmatics. https://www.sciencedirect.com/science/article/am/pii/S0378216623002448,miscommunication (negative emotions),detect,invalid
reply_time_gap,Choi et al. (2020). Offline and Online Satisfaction Prediction in Open-Domain Conversational Systems. https://arxiv.org/pdf/2006.01921,user satisfaction (proxy for frustration when low),predict,valid
escalation_request,"Hernandez Caralt et al. (2024). “Stupid robot, I want to speak to a human!” User Frustration Detection in TOD Systems. https://arxiv.org/html/2411.17437v1",frustration,detect,valid
help_button_usage,No specific paper found using help-button telemetry to infer frustration (text-only datasets typically lack this signal).,—,—,no_url
session_dropout,Yang & Hsu (2021). Predicting Users’ Abandonment of a Task‑Oriented Chatbot Service using Explainable Deep Learning. CUI ’21. https://dl.acm.org/doi/10.1145/3469595.3469630,abandonment/dissatisfaction,predict,invalid
typing_speed_change,No specific text-based dialogue paper found using keystroke speed to infer frustration (requires HCI telemetry).,—,—,no_url
re_entry_behavior,No specific paper found linking cross-session re-entry to frustration in TOD; typically requires product telemetry.,—,—,no_url
negative_feedback,Park et al. (2020). Large-scale Hybrid Approach for Predicting User Satisfaction with Conversational Agents (uses explicit feedback). https://assets.amazon.science/f4/af/0363d1a942259019f69027a3495f/large-scale-hybrid-approach-for-predicting-user-satisfaction-with-conversational-agents.pdf,user (dis)satisfaction,detect,valid
task_complexity,Zhang et al. (2022). Understanding User Satisfaction with Task-oriented Dialogue Systems. CUI ’22. https://dl.acm.org/doi/10.1145/3477495.3531798,user satisfaction,predict,invalid
goal_completion_status,Mehri et al. (2021). Blending Task Success and User Satisfaction: Analysis of Learned Dialogue Policies. SIGDIAL. https://aclanthology.org/2021.sigdial-1.42.pdf,user satisfaction vs task success (negative when failing),predict,valid
time_on_task,Choi et al. (2020). Offline and Online Satisfaction Prediction... https://arxiv.org/pdf/2006.01921,user satisfaction,predict,valid
subgoal_block_count,Higashinaka et al. (2017). Miscommunication handling in spoken dialog systems (error-aware state). https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-017-0107-3,miscommunication/negative,detect,valid
expressed_urgency,No specific dialogue paper found using urgency lexicon to predict frustration; commonly hypothesized cue.,—,—,no_url
device_context,No specific dialogue emotion paper found leveraging device type to infer frustration.,—,—,no_url
emotion_drift,Zuters & Leonova (2020). Predicting change of frustration intensity turn-to-turn. https://aircconline.com/ijcsit/V12N6/12620ijcsit01.pdf,frustration trajectory,predict,valid
emotion_volatility,Zuters & Leonova (2022). Turn-level frustration modeling across languages. https://www.bjmc.lu.lv/fileadmin/user_upload/lu_portal/projekti/bjmc/Contents/10_4_08_Leonova.pdf,frustration volatility,predict,valid
frustration_delay,No specific paper found modeling delay between obstacle and frustration onset in TOD.,—,—,no_url
personality_traits,Peng et al. (2024). Personality prediction from task-oriented and open-domain dialogue. Scientific Reports. https://www.nature.com/articles/s41598-024-53989-y,"personality (related factor, not direct frustration)",predict (indirect),valid
trust_in_system,Zhang et al. (2025). VizTrust: Visual Analytics for User Trust Dynamics in CAs. https://arxiv.org/html/2503.07279v1,trust (related factor),detect (indirect),valid
frustration_tolerance,No direct paper found estimating individual tolerance to frustration from prior dialogues.,—,—,no_url
bot_confidence_score,Ultes & Schmitt (2015). Interaction Quality ... relation to user satisfaction (ASR/NLU confidences as features). Cited in Ultes 2017. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
response_latency,Choi et al. (2020). Offline and Online Satisfaction Prediction ... (timing features). https://arxiv.org/pdf/2006.01921,user satisfaction,predict,valid
response_clarity,Ramesh et al. (2020). Joint Turn- and Dialogue-level User Satisfaction Estimation on Multi-Domain Conversations (turn-level Response Quality). https://assets.amazon.science/26/c6/36b3686044c6a7b521efdcc31ab5/joint-turn-and-dialogue-level-user-satisfaction-estimation-on-multi-domain-conversations.pdf,response quality (proxy for dissatisfaction),detect,valid
response_relevance,Sandbank et al. (2017). Detecting Egregious Conversations ... (agent mismatch patterns). https://arxiv.org/abs/1711.05780,egregious/negative,detect,valid
sentiment_trajectory,"Hernandez Caralt et al. (2024) ""User Frustration Detection in Task-Oriented Dialog Systems"" (COLING Industry). https://aclanthology.org/2025.coling-industry.23.pdf",frustration,detect,valid
sentiment_trajectory,"Bodigutla et al. (2020) ""Joint Turn- and Dialogue-level User Satisfaction Estimation on Multi-Domain Conversations."" https://arxiv.org/abs/2010.02495",user satisfaction (negative ↔ dissatisfaction),predict,valid
politeness_level,"Arunachalam et al. (2001) ""Politeness and Frustration Language in Child–Machine Interactions."" https://sail.usc.edu/publications/files/ArunachalamInterSpeech2001.pdf",frustration / politeness,detect,invalid
politeness_level,"Yildirim et al. (2005) ""Detecting Politeness and Frustration State of a Child in a Conversational Computer Game."" https://www.isca-archive.org/interspeech_2005/yildirim05_interspeech.pdf",frustration / politeness,detect,valid
politeness_level,"Zhou et al. (2022) ""Politeness Adaptive Dialogue System (PADS)."" https://www.sciencedirect.com/science/article/abs/pii/S0925231222003952",politeness (related to user affect),predict,invalid
intent_repetition,"Li et al. (2019) ""When There is No Progress with a Task-Oriented Chatbot."" https://www.researchgate.net/figure/Likelihood-of-users-abandoning-the-chatbot-by-number-of-consecutive-NPs-Just-149-of_fig6_336203997",abandonment / dissatisfaction,predict,invalid
intent_repetition,"Oraby et al. (2017) ""How May I Help You?: Modeling Twitter Customer Service Conversations Using Fine-Grained Dialogue Acts."" https://arxiv.org/abs/1709.05413",customer frustration,predict,valid
directness_abruptness,"Zhang et al. (2018) ""Conversations Gone Awry: Detecting Early Signs of Conversational Failure."" https://arxiv.org/abs/1805.05345",conversational failure / negative trajectory,predict,valid
directness_abruptness,"Arunachalam et al. (2001) ""Politeness and Frustration Language..."" https://sail.usc.edu/publications/files/ArunachalamInterSpeech2001.pdf",frustration / politeness,detect,invalid
confusion_lexical_markers,"Balaraman et al. (2023) ""No, that’s not what I meant: Handling Third Position Repair in Conversational QA."" https://aclanthology.org/2023.sigdial-1.52.pdf",miscommunication (negative),detect,valid
confusion_lexical_markers,"Purver (2018) ""Computational Models of Miscommunication Phenomena."" https://onlinelibrary.wiley.com/doi/10.1111/tops.12324",miscommunication (negative),detect,invalid
hedging_expressions,"Zhang et al. (2018) ""Conversations Gone Awry..."" https://arxiv.org/abs/1805.05345",early warning of failure (hedges/politeness cues),predict,valid
negation_frequency,"Begovic et al. (2023) ""Impact of Negation and Intensifiers on Sentiment Value."" https://www.mdpi.com/2076-3417/13/13/7760",negative sentiment (proxy),detect,valid
emotion_words,"Oraby et al. (2017) ""How May I Help You?"" https://arxiv.org/abs/1709.05413",customer frustration / satisfaction,predict,valid
discourse_markers,"Purver (2018) ""Computational Models of Miscommunication..."" https://onlinelibrary.wiley.com/doi/10.1111/tops.12324",repair/miscommunication markers,detect,invalid
emphasis_capitalization,"WARSE (2021) ""VADER Sentiment Analysis with Punctuation."" https://www.warse.org/IJATCSE/static/pdf/file/ijatcse1371022021.pdf",negative sentiment (proxy),detect,valid
exclamation_density,"WARSE (2021) ""VADER Sentiment Analysis with Punctuation."" https://www.warse.org/IJATCSE/static/pdf/file/ijatcse1371022021.pdf",negative sentiment (proxy),detect,valid
sarcasm_indicators,"Ghosh et al. (2018) ""Sarcasm Analysis Using Conversation Context."" https://aclanthology.org/J18-4009/",sarcasm (negative affect correlate),detect,valid
sarcasm_indicators,"Zhang et al. (2018) ""Conversations Gone Awry..."" https://arxiv.org/abs/1805.05345",antisocial/negative outcomes,predict,valid
system_failures,"Ultes et al. (2017) ""Domain-Independent User Satisfaction Reward Estimation for Dialogue Policy."" https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf",user dissatisfaction,predict,valid
system_failures,"Sandbank et al. (2017/2018) ""Detecting Egregious Conversations..."" https://aclanthology.org/N18-1163.pdf",egregious/negative interaction,detect,valid
repeated_turns,"Li et al. (2019) ""No Progress with a Task-Oriented Chatbot."" https://www.researchgate.net/figure/Likelihood-of-users-abandoning-the-chatbot-by-number-of-consecutive-NPs-Just-149-of_fig6_336203997",abandonment,predict,invalid
conversation_length,"Ultes & Schmitt (2017) ""Interaction Quality and User Satisfaction"" (in Ultes 2017). https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf",user dissatisfaction,predict,valid
user_corrections,"Hough & Schlangen (2015) ""Automatic Detection of Miscommunication in Spoken Dialogue."" https://dl.acm.org/doi/10.1145/3237189",miscommunication (negative),detect,invalid
self_corrections,"Hough & Schlangen (2015) ""Automatic Detection of Miscommunication..."" https://dl.acm.org/doi/10.1145/3237189",miscommunication (negative),detect,invalid
intent_switch_frequency,"Cai et al. (2020) ""Predicting User Intents and Satisfaction in Conversational Recommenders."" https://wanlingcai.github.io/files/2020/UMAP2020-Paper.pdf",user satisfaction,predict,valid
confirmation_count,"Ultes et al. (2017) ""Domain-Independent USE..."" https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf",user dissatisfaction,predict,valid
system_misunderstanding_rate,"Sandbank et al. (2018) ""Detecting Egregious Conversations..."" https://aclanthology.org/N18-1163.pdf",egregious/negative,detect,valid
alignment_failures,"Balaraman et al. (2023) ""Third Position Repair..."" https://aclanthology.org/2023.sigdial-1.52.pdf",miscommunication,detect,valid
reply_time_gap,"Choi et al. (2020) ""Offline and Online Satisfaction Prediction in Open-Domain Conversational Systems."" https://arxiv.org/pdf/2006.01921",user dissatisfaction,predict,valid
escalation_request,"Hernandez Caralt et al. (2024) ""User Frustration Detection in TOD Systems."" https://arxiv.org/abs/2411.17437",frustration,detect,valid
escalation_request,"Hybrid Service Recovery (2021) ""Design for Seamless Inquiry Handovers..."" HICSS. https://scholarspace.manoa.hawaii.edu/bitstreams/43a3e7e5-9c27-4e71-bfc7-53802f41488d/download",service failure / negative affect,predict,valid
help_button_usage,— No peer-reviewed dialogue paper using help-button telemetry for frustration (requires product telemetry).,—,—,no_url
session_dropout,"Yang & Hsu (2021) ""Predicting Users’ Abandonment of a Task-Oriented Chatbot Service."" https://dl.acm.org/doi/10.1145/3469595.3469630",abandonment / dissatisfaction,predict,invalid
session_dropout,"Hsu et al. (2024) ""Predicting and Exploring Abandonment Signals in a Banking Chatbot."" https://people.cs.nycu.edu.tw/~armuro/pubs/hsu-et-al-2024-ijhci.pdf",abandonment,predict,valid
typing_speed_change,"Epp et al. (2011) ""Identifying Emotional States using Keystroke Dynamics."" https://med.stanford.edu/content/dam/sm/pervasivewellbeingtech/documents/UnderPressure.pdf",stress / negative affect,detect,valid
typing_speed_change,Sun et al. (2021) survey mentions timing features in USE. https://arxiv.org/pdf/2105.03748,user satisfaction (timing proxy),predict,valid
re_entry_behavior,— No peer-reviewed TOD paper linking cross-session re-entry to frustration directly (requires longitudinal telemetry).,—,—,no_url
negative_feedback,"Bodigutla et al. (2020) ""Joint Turn- and Dialogue-level USE..."" https://arxiv.org/abs/2010.02495",user dissatisfaction,detect,valid
task_complexity,"Siro et al. (2022) ""Understanding User Satisfaction with Task-oriented Dialogue Systems."" https://arxiv.org/abs/2204.12195",user satisfaction,predict,valid
goal_completion_status,"Mehri & Eskenazi (2021) ""Blending Task Success and User Satisfaction."" https://aclanthology.org/2021.sigdial-1.42.pdf",user satisfaction / failure,predict,valid
time_on_task,"Hertzum (2023) ""Frustration: Still a Common User Experience."" https://dl.acm.org/doi/10.1145/3582432",frustration,detect,invalid
time_on_task,"Ceaparu et al. (2004) ""Determining Causes and Severity of End-User Frustration."" https://www.cs.umd.edu/~ben/papers/Ceaparu2004Determining.pdf",frustration,detect,valid
subgoal_block_count,"Higashinaka et al. (2017) ""Miscommunication handling in spoken dialog systems."" https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-017-0107-3",miscommunication / failure,detect,valid
expressed_urgency,"Landesberger et al. (2020) ""Detecting Urgency in Speech (SemDial)."" https://www.semdial.org/anthology/Z20-Landesberger_semdial_0027.pdf",urgency (risk factor for frustration),detect,valid
expressed_urgency,"Wambugu et al. (2022) ""Detecting Urgency in Multilingual Medical SMS."" https://aclanthology.org/2022.aacl-srw.10.pdf",urgency (risk factor),detect,valid
device_context,— No peer-reviewed dialogue emotion paper directly linking device type to frustration detection.,—,—,no_url
emotion_drift,"Majumder et al. (2019) ""DialogueRNN: Emotion Detection in Conversations."" https://arxiv.org/abs/1811.00405",emotion dynamics (incl. anger/frustration classes in ERC datasets),detect,valid
emotion_drift,"Ghosal et al. (2019) ""DialogueGCN."" https://aclanthology.org/D19-1015.pdf",emotion dynamics,detect,valid
emotion_volatility,"Survey: ""Emotion Recognition in Conversations"" (MDPI 2023). https://www.mdpi.com/2079-9292/12/22/4714",emotion volatility / transitions,detect,valid
emotion_volatility,Fourier GNN MERC (2025 AAAI). https://ojs.aaai.org/index.php/AAAI/article/view/33242/35397,emotion volatility / transitions,detect,valid
frustration_delay,"— No direct TOD paper modeling delay between obstacle and frustration onset; HCI shows delay-induced frustration effects (West et al., 2011). https://tessawestlab.com/documents/West_2011_The%20effect%20of%20video%20feedback%20delay%20on%20frusteration%20and%20emotion%20communication%20accuracy.pdf",frustration (HCI),detect,no_url
personality_traits,"Peng et al. (2024) ""Personality prediction from dialogues."" https://www.nature.com/articles/s41598-024-53989-y",personality (risk factor),predict,valid
personality_traits,"Zhang et al. (2025) ""User personality influence on TOD performance."" https://www.nature.com/articles/s41598-025-07101-7",personality ↔ satisfaction,predict,valid
trust_in_system,"Siro et al. (2022) ""Understanding User Satisfaction..."" https://arxiv.org/abs/2204.12195",trust / satisfaction,detect,valid
trust_in_system,Counterfactual Assessment of USE (2024). https://aclanthology.org/2024.findings-acl.871.pdf,user dissatisfaction,predict,valid
frustration_tolerance,— No direct paper estimating individual frustration tolerance from chat logs.,—,—,no_url
bot_confidence_score,"Ultes et al. (2017) ""Domain-Independent USE..."" https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf",user dissatisfaction,predict,valid
response_latency,"Choi et al. (2020) ""Offline and Online Satisfaction Prediction..."" https://arxiv.org/pdf/2006.01921",user dissatisfaction,predict,valid
response_latency,"RIT Thesis (2009) ""System response times & frustration."" https://repository.rit.edu/cgi/viewcontent.cgi?article=2374&context=theses",frustration (HCI),detect,valid
response_clarity,"Bodigutla et al. (2019/2020) ""Multi-domain Conversation Quality via USE (Response Quality feature sets)."" https://assets.amazon.science/20/a7/9fd037fc46d8a892b68adb50cf9c/multi-domain-dialogue-quality-evaluation-via-user-satisfaction-estimation.pdf",user dissatisfaction,detect,valid
response_relevance,"Sandbank et al. (2018) ""Detecting Egregious Conversations..."" https://aclanthology.org/N18-1163.pdf",egregious/negative,detect,valid
sentiment_trajectory,"Chatterjee et al. (2020). Speech, Sentiment, and Customer Satisfaction Estimation in Socialbot Conversations (Amazon). ICASSP. https://assets.amazon.science/1e/b3/daf26fef4a6ca4da9949a4b14c27/speech-sentiment-and-customer-satisfaction-estimation-in-socialbot-conversations.pdf",customer satisfaction (proxy for frustration),predict,valid
sentiment_trajectory,Bodigutla et al. (2020). Joint Turn- and Dialogue-level User Satisfaction Estimation on Multi-Domain Conversations. Findings EMNLP. https://aclanthology.org/2020.findings-emnlp.347.pdf,user dissatisfaction,predict,valid
politeness_level,Danescu-Niculescu-Mizil et al. (2013). A Computational Approach to Politeness. ACL. https://aclanthology.org/P13-1025/,politeness (affect/engagement correlate),detect,valid
intent_repetition,Sandbank et al. (2018). Detecting Egregious Conversations between Customers and Virtual Agents. NAACL. https://aclanthology.org/N18-1163/,egregious/negative interaction,detect,valid
directness_abruptness,Zhang et al. (2018). Conversations Gone Awry: Detecting Early Signs of Conversational Failure. ACL. https://aclanthology.org/P18-1125/,conversational failure / negative trajectory,predict,valid
confusion_lexical_markers,Balaraman et al. (2023). Handling Third Position Repair in Conversational QA. SIGDIAL. https://aclanthology.org/2023.sigdial-1.52.pdf,miscommunication (negative),detect,valid
negation_frequency,Hutto & Gilbert (2014). VADER Sentiment: Punctuation/caps/negation heuristics. ICWSM. https://eegilbert.org/papers/icwsm14.vader.hutto.pdf,negative sentiment (proxy),detect,invalid
emotion_words,Oraby et al. (2017). Modeling Twitter Customer Service Conversations using Fine-Grained Dialogue Acts. arXiv:1709.05413,customer frustration / satisfaction,predict,no_url
discourse_markers,Purver (2018). Computational Models of Miscommunication Phenomena. Topics in Cognitive Science. https://onlinelibrary.wiley.com/doi/10.1111/tops.12324,repair/miscommunication markers,detect,invalid
emphasis_capitalization,Teh et al. (2015). Sentiment Tools Should Account for Number of Exclamation Marks. iiWAS. https://eprints.lancs.ac.uk/id/eprint/76994/1/iiWAS2015_TEH_PHOEY_LEE_V2_scott.pdf,non-lexical intensity (proxy),detect,valid
exclamation_density,Hutto & Gilbert (2014). VADER: heuristics for exclamations/caps/intensifiers. ICWSM. https://ojs.aaai.org/index.php/ICWSM/article/view/14550,non-lexical intensity (proxy),detect,valid
sarcasm_indicators,Ghosh et al. (2018). Sarcasm Analysis Using Conversation Context. Computational Linguistics. https://aclanthology.org/J18-4009/,sarcasm (negative affect correlate),detect,valid
system_failures,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation. INTERSPEECH. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user dissatisfaction,predict,valid
repeated_turns,Li et al. (2019). When There is No Progress with a Task-Oriented Chatbot. (Abandonment vs. consecutive NPs). https://www.researchgate.net/figure/Likelihood-of-users-abandoning-the-chatbot-by-number-of-consecutive-NPs-Just-149-of_fig6_336203997,abandonment/dissatisfaction,predict,invalid
conversation_length,Chowdhury et al. (2016). Predicting User Satisfaction from Turn-Taking in Spoken Conversations. INTERSPEECH. https://www.isca-archive.org/interspeech_2016/chowdhury16_interspeech.pdf,user dissatisfaction,predict,valid
user_corrections,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. ACM T-AC (related). https://dl.acm.org/doi/10.1145/3237189,miscommunication (negative),detect,invalid
intent_switch_frequency,Cai & Chen (2020). Predicting User Intents and Satisfaction in Conversational Recommenders. UMAP. https://dl.acm.org/doi/10.1145/3340631.3394856,user satisfaction,predict,invalid
confirmation_count,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user dissatisfaction,predict,valid
system_misunderstanding_rate,Higashinaka et al. (2016–2019). Dialogue Breakdown Detection Challenge (DBDC). Surveyed in: Chen et al. (2023) arXiv:2309.06490,breakdown (negative user state),detect,no_url
alignment_failures,Li et al. (2024). Multimodal Contextual Dialogue Breakdown Detection for Industry Calls. NAACL Industry. https://aclanthology.org/2024.naacl-industry.25.pdf,breakdown/misalignment,detect,valid
reply_time_gap,Choi et al. (2020). Offline & Online Satisfaction Prediction in Open-Domain Systems. arXiv:2006.01921,user dissatisfaction,predict,no_url
escalation_request,"Hernandez Caralt et al. (2024/2025). ""Stupid robot, I want to speak to a human!"": User Frustration Detection in TOD. arXiv:2411.17437; COLING Industry 2025. https://aclanthology.org/2025.coling-industry.23.pdf",frustration,detect,valid
session_dropout,Yang & Hsu (2021). Tell Me When Users Leave: Predicting Users’ Abandonment of a Task-Oriented Chatbot. CUI. https://people.cs.nycu.edu.tw/~armuro/pubs/yang-et-al-2021-cui-ea.pdf,abandonment/dissatisfaction,predict,valid
typing_speed_change,Epp et al. (2011). Identifying Emotional States using Keystroke Dynamics. CHI EA. https://dl.acm.org/doi/10.1145/1978942.1979046,stress/negative affect,detect,invalid
negative_feedback,Park et al. (2020). Large-scale Hybrid Approach for Predicting User Satisfaction with CAs. Amazon Science. https://assets.amazon.science/f4/af/0363d1a942259019f69027a3495f/large-scale-hybrid-approach-for-predicting-user-satisfaction-with-conversational-agents.pdf,user dissatisfaction,detect,valid
task_complexity,"Siro, Aliannejadi & de Rijke (2023). Understanding & Predicting User Satisfaction with Conversational Recommenders. TOIS. https://dl.acm.org/doi/10.1145/3624989",user satisfaction,predict,invalid
goal_completion_status,Mehri & Eskenazi (2021). Blending Task Success and User Satisfaction. SIGDIAL. https://aclanthology.org/2021.sigdial-1.42.pdf,user satisfaction vs. failure,predict,valid
time_on_task,Ceaparu et al. (2004). Determining Causes and Severity of End-User Frustration. IJHCS. https://www.cs.umd.edu/~ben/papers/Ceaparu2004Determining.pdf,frustration,detect,valid
subgoal_block_count,"Higashinaka et al. (2017). Miscommunication Handling in Spoken Dialog Systems. EURASIP J. on Audio, Speech, and Music Processing. https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-017-0107-3",miscommunication/failure,detect,valid
expressed_urgency,Landesberger & Ehrlich (2020). Detecting Urgency in Speech. SemDial. https://www.semdial.org/anthology/volumes/Z20-4/,urgency (risk factor),detect,valid
emotion_drift,Majumder et al. (2019). DialogueRNN: Emotion Detection in Conversations. AAAI. https://arxiv.org/abs/1811.00405,emotion dynamics incl. anger,detect,valid
emotion_volatility,Ghosal et al. (2019). DialogueGCN: Graph Convolution for Emotion Recognition in Conversations. EMNLP. https://aclanthology.org/D19-1015.pdf,emotion transitions,detect,valid
personality_traits,Peng et al. (2024). Personality Prediction from Dialogues. Scientific Reports. https://www.nature.com/articles/s41598-024-53989-y,personality (risk factor),predict (indirect),valid
trust_in_system,Siro et al. (2023). Understanding & Predicting User Satisfaction with CRS (trust dimension). TOIS. https://dl.acm.org/doi/10.1145/3624989,trust/satisfaction,detect (indirect),invalid
bot_confidence_score,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation (ASR/NLU confidences). INTERSPEECH. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user dissatisfaction,predict,valid
response_latency,Azaria et al. (2023). Opposing Effects of Response Time in Human–Chatbot Interaction. Electronic Markets. https://link.springer.com/article/10.1007/s12599-022-00755-x,satisfaction (timing),predict,valid
response_clarity,Bodigutla et al. (2019). Multi-domain Dialogue Quality via User Satisfaction Estimation (Response Quality). Amazon. https://www.amazon.science/publications/multi-domain-conversation-quality-evaluation-via-user-satisfaction-estimation,response quality (dissatisfaction proxy),detect,valid
response_relevance,Sandbank et al. (2018). Detecting Egregious Conversations (agent mismatch patterns). NAACL. https://aclanthology.org/N18-1163/,egregious/negative,detect,valid
help_button_usage,No peer-reviewed dialogue paper found using help-button telemetry to infer frustration (requires product telemetry).,—,—,no_url
re_entry_behavior,No peer-reviewed task-oriented dialogue paper linking cross-session re-entry to frustration directly (requires longitudinal telemetry).,—,—,no_url
frustration_tolerance,No direct paper estimating individual frustration tolerance from chat logs.,—,—,no_url
frustration_delay,No direct TOD paper modeling delay-to-frustration onset; see HCI studies on latency/time causing frustration.,—,—,no_url
